Bill_No,Customer_ID,Gender,Customer_Location,Purchase_ID,Date_Purchase,Week_Purchase,Time,Time_Bucket,Categories,Purchase_Item,"Purchase_Qty (kg,ltre)",Payment_Mode,Price,Gross Sale,%,Total Sales
1365,MPM_VVMID28241,Male,Maddilapalem,PRE_PRCS0494362,21-12-2025,Sunday,17:17,Evening,Grocery & Staples,Edible Camphor,1,Debit Card,329.50,329.50,0.25,329.25
1366,NAD_VVMID30621,Female,NAD Junction,PRE_PRCS0494353,01-01-2026,Thursday,17:20,Evening,Dairy & Frozen,Badam Milk,1,Cash,39.60,39.60,0.25,39.35
1367,GJA_VVMID19495,Male,Gajuwaka,PRE_PRCS0494344,21-12-2025,Sunday,17:23,Evening,Fruits & Vegitables,Bottle Gourd,2,UPI,69.50,139.00,5.75,133.25
1368,VKPM_VVMID02070,Female,Visakhapatnam,PRE_PRCS0494335,30-12-2025,Tuesday,17:26,Evening,Personal Care,Anti-Aging Cream,3,UPI,490.00,1470.00,10.75,1459.25
1369,DN_VVMID015551,Male,Dwaraka Nagar,PRE_PRCS0494326,27-12-2025,Saturday,17:29,Evening,Home & Kitchen,Soap Dispensers,1,Credit Card,279.00,279.00,0.25,278.75
1370,AN-VVMID009555,Male,Auto Nagar,PRE_PRCS0494317,07-01-2026,Wednesday,17:32,Evening,Apparel,Rain Jackets,1,Cash,80.60,80.60,0.25,80.35
1371,JMBJ_VVMID24377,Male,Jagadamba Junction,PRE_PRCS0494308,24-12-2025,Wednesday,17:35,Evening,General Merchandise,Sports Watches,1,UPI,3999.00,3999.00,0.25,3998.75
1372,DN_VVMID015565,Male,Dwaraka Nagar,PRE_PRCS0494299,02-01-2026,Friday,17:38,Evening,Dairy & Frozen,Cold Coffee,1,Credit Card,99.02,99.02,0.25,98.77
1373,MPM_VVMID28247,Female,Maddilapalem,PRE_PRCS0494290,03-01-2026,Saturday,17:41,Evening,Dairy & Frozen,Chaas / Buttermilk,1,Debit Card,87.42,87.42,0.25,87.17
1374,MVPC_VVMID29607,Male,MVP Colony,PRE_PRCS0494281,04-01-2026,Sunday,17:44,Evening,Dairy & Frozen,Lassi,1,UPI,59.80,59.80,0.25,59.55
1375,MVPC_VVMID29611,Male,MVP Colony,PRE_PRCS0494272,22-12-2025,Monday,17:47,Evening,Grocery & Staples,Silver Leaf (Varak),1,UPI,120.00,120.00,0.25,119.75
1376,JMBJ_VVMID24396,Female,Jagadamba Junction,PRE_PRCS0494263,05-01-2026,Monday,17:50,Evening,Dairy & Frozen,Condensed Milk (Milkmaid),1,UPI,103.58,103.58,0.25,103.33
1377,AN-VVMID009569,Male,Auto Nagar,PRE_PRCS0494254,22-12-2025,Monday,17:53,Evening,Fruits & Vegitables,Ridge Gourd,2,Cash,69.70,139.40,5.75,133.65
1378,VKPM_VVMID02073,Male,Visakhapatnam,PRE_PRCS0494245,31-12-2025,Wednesday,17:56,Evening,Personal Care,Bathing Soap,3,UPI,200.00,600.00,10.75,589.25
1379,MPM_VVMID28253,Male,Maddilapalem,PRE_PRCS0494236,28-12-2025,Sunday,17:59,Evening,Home & Kitchen,Mixer Grinders,1,Debit Card,4509.80,4509.80,0.25,4509.55
1380,GJA_VVMID19505,Male,Gajuwaka,PRE_PRCS0494227,08-01-2026,Thursday,18:02,Evening,Apparel,Rain Ponchos,1,Credit Card,80.60,80.60,0.25,80.35
1381,VKPM_VVMID02076,Male,Visakhapatnam,PRE_PRCS0494218,25-12-2025,Thursday,18:05,Evening,General Merchandise,Couple Watches,1,Cash,111.02,111.02,0.25,110.77
1382,GJA_VVMID19515,Male,Gajuwaka,PRE_PRCS0494209,23-12-2025,Tuesday,18:08,Evening,Fruits & Vegitables,Bitter Gourd,2,Credit Card,45.80,91.60,5.75,85.85
1383,VKPM_VVMID02079,Male,Visakhapatnam,PRE_PRCS0494200,06-01-2026,Tuesday,18:11,Evening,Dairy & Frozen,Milk Powder,1,Cash,45.80,45.80,0.25,45.55
1384,JMBJ_VVMID24415,Female,Jagadamba Junction,PRE_PRCS0494191,23-12-2025,Tuesday,18:14,Evening,Grocery & Staples,Agar Agar (China Grass),1,UPI,180.89,180.89,0.25,180.64
1385,VKPM_VVMID02082,Male,Visakhapatnam,PRE_PRCS0494182,07-01-2026,Wednesday,18:17,Evening,Dairy & Frozen,Skimmed Milk Powder,1,Debit Card,149.90,149.90,0.25,149.65
1386,AN-VVMID009583,Female,Auto Nagar,PRE_PRCS0494173,24-12-2025,Wednesday,18:20,Evening,Fruits & Vegitables,Snake Gourd,1,Debit Card,45.00,45.00,0.25,44.75
1387,NAD_VVMID30625,Male,NAD Junction,PRE_PRCS0494164,01-01-2026,Thursday,18:23,Evening,Personal Care,Body Wash/Shower Gel,3,Cash,328.80,986.40,10.75,975.65
1388,MVPC_VVMID29615,Male,MVP Colony,PRE_PRCS0494155,29-12-2025,Monday,18:26,Evening,Home & Kitchen,Juicers,1,UPI,600.60,600.60,0.25,600.35
1389,AN-VVMID009597,Male,Auto Nagar,PRE_PRCS0494146,09-01-2026,Friday,18:29,Evening,Apparel,Gumboots,1,Debit Card,179.00,179.00,0.25,178.75
1390,VKPM_VVMID02085,Male,Visakhapatnam,PRE_PRCS0494137,24-12-2025,Wednesday,18:32,Evening,General Merchandise,Kids' Watches,1,Debit Card,80.50,80.50,0.25,80.25
1391,VKPM_VVMID02088,Female,Visakhapatnam,PRE_PRCS0494128,25-12-2025,Thursday,18:35,Evening,Fruits & Vegitables,Ivy Gourd (Tendli),1,UPI,2257.50,2257.50,0.25,2257.25
1392,VKPM_VVMID02091,Male,Visakhapatnam,PRE_PRCS0494119,26-12-2025,Friday,18:38,Evening,Fruits & Vegitables,Ash Gourd,2,UPI,80.75,161.50,5.75,155.75
1393,NAD_VVMID30629,Male,NAD Junction,PRE_PRCS0494110,27-12-2025,Saturday,18:41,Evening,Fruits & Vegitables,Pumpkin,3,Cash,80.60,241.80,10.75,231.05
1394,VKPM_VVMID02094,Female,Visakhapatnam,PRE_PRCS0494101,24-12-2025,Wednesday,18:44,Evening,Grocery & Staples,Gelatin,1,Cash,120.00,120.00,0.25,119.75
1395,VKPM_VVMID02097,Male,Visakhapatnam,PRE_PRCS0494092,08-01-2026,Thursday,18:47,Evening,Dairy & Frozen,Dairy Whitener,1,Cash,120.14,120.14,0.25,119.89
1396,DN_VVMID015579,Male,Dwaraka Nagar,PRE_PRCS0494083,28-12-2025,Sunday,18:50,Evening,Fruits & Vegitables,Cucumber,4,Credit Card,114.38,457.52,16.75,440.77
1397,DN_VVMID015593,Male,Dwaraka Nagar,PRE_PRCS0494074,30-12-2025,Tuesday,18:53,Evening,Personal Care,Body Scrub,3,Credit Card,189.70,569.10,10.75,558.35
1398,JMBJ_VVMID24434,Male,Jagadamba Junction,PRE_PRCS0494065,30-12-2025,Tuesday,18:56,Evening,Home & Kitchen,Electric Kettles,1,UPI,329.50,329.50,0.25,329.25
1399,VKPM_VVMID02100,Male,Visakhapatnam,PRE_PRCS0494056,10-01-2026,Saturday,18:59,Evening,Apparel,"Jackets (Puffer, Quilted, Windcheaters)",1,UPI,1406.60,1406.60,0.25,1406.35
1400,VKPM_VVMID02103,Male,Visakhapatnam,PRE_PRCS0494047,25-12-2025,Thursday,19:02,Evening,General Merchandise,"Sunglasses (Aviator, Wayfarer, Cat-Eye, etc.)",1,Cash,899.00,899.00,0.25,898.75
1401,VKPM_VVMID02106,Male,Visakhapatnam,PRE_PRCS0494038,25-12-2025,Thursday,19:05,Evening,Grocery & Staples,Tea Leaves / Dust,1,Debit Card,128.90,128.90,0.25,128.65
1402,VKPM_VVMID02109,Female,Visakhapatnam,PRE_PRCS0494029,24-12-2025,Wednesday,19:08,Evening,General Merchandise,Reading Glasses,1,UPI,1898.80,1898.80,0.25,1898.55
1403,VKPM_VVMID02112,Male,Visakhapatnam,PRE_PRCS0494020,26-12-2025,Friday,19:11,Evening,Grocery & Staples,Tea Bags,1,Cash,128.90,128.90,0.25,128.65
1404,VKPM_VVMID02115,Female,Visakhapatnam,PRE_PRCS0494011,09-01-2026,Friday,19:14,Evening,Dairy & Frozen,Vanilla / Chocolate / Strawberry Ice Cream,1,UPI,270.00,270.00,0.25,269.75
1405,MPM_VVMID28259,Male,Maddilapalem,PRE_PRCS0494002,29-12-2025,Monday,19:17,Evening,Fruits & Vegitables,Drumstick,1,Debit Card,329.50,329.50,0.25,329.25
1406,MPM_VVMID28265,Male,Maddilapalem,PRE_PRCS0493993,31-12-2025,Wednesday,19:20,Evening,Personal Care,Talcum Powder,4,Debit Card,260.00,1040.00,16.75,1023.25
1407,VKPM_VVMID02118,Male,Visakhapatnam,PRE_PRCS0493984,31-12-2025,Wednesday,19:23,Evening,Home & Kitchen,Toasters,1,Cash,699.00,699.00,0.25,698.75
1408,VKPM_VVMID02121,Male,Visakhapatnam,PRE_PRCS0493975,11-01-2026,Sunday,19:26,Evening,Apparel,Overcoats,1,UPI,120.60,120.60,0.25,120.35
1409,VKPM_VVMID02124,Female,Visakhapatnam,PRE_PRCS0493966,25-12-2025,Thursday,19:29,Evening,General Merchandise,Blue Light Glasses,1,Net Banking,349.80,349.80,0.25,349.55
1410,VKPM_VVMID02127,Male,Visakhapatnam,PRE_PRCS0493957,27-12-2025,Saturday,19:32,Evening,Grocery & Staples,Green Tea,1,UPI,120.00,120.00,0.25,119.75
1411,VKPM_VVMID02130,Male,Visakhapatnam,PRE_PRCS0493948,24-12-2025,Wednesday,19:35,Evening,General Merchandise,Sports Sunglasses,4,Cash,1602.20,6408.80,16.75,6392.05
1412,VKPM_VVMID02133,Female,Visakhapatnam,PRE_PRCS0493939,25-12-2025,Thursday,19:38,Evening,General Merchandise,Umbrellas,1,UPI,128.90,128.90,0.25,128.65
1413,VKPM_VVMID02136,Male,Visakhapatnam,PRE_PRCS0493930,28-12-2025,Sunday,19:41,Evening,Grocery & Staples,Filter Coffee Powder,1,Net Banking,329.50,329.50,0.25,329.25
1414,VKPM_VVMID02139,Male,Visakhapatnam,PRE_PRCS0493921,10-01-2026,Saturday,19:44,Evening,Dairy & Frozen,"Kulfi (Malai, Mango, Pista)",1,Net Banking,80.50,80.50,0.25,80.25
1415,MVPC_VVMID29619,Male,MVP Colony,PRE_PRCS0493912,30-12-2025,Tuesday,19:47,Evening,Fruits & Vegitables,Cauliflower,1,UPI,85.98,85.98,0.25,85.73
1416,MVPC_VVMID29623,Male,MVP Colony,PRE_PRCS0493903,01-01-2026,Thursday,19:50,Evening,Personal Care,Antiseptic Liquid,4,UPI,189.50,758.00,16.75,741.25
1417,VKPM_VVMID02142,Male,Visakhapatnam,PRE_PRCS0493894,01-01-2026,Thursday,19:53,Evening,Home & Kitchen,Hand Blenders,1,Debit Card,472.60,472.60,0.25,472.35
1418,NAD_VVMID30633,Male,NAD Junction,PRE_PRCS0493885,12-01-2026,Monday,19:56,Evening,Apparel,Trench Coats,1,Cash,629.00,629.00,0.25,628.75
1419,VZNM_VVMID07529,Male,Vizianagaram,PRE_PRCS0493876,24-12-2025,Wednesday,19:59,Evening,General Merchandise,Raincoats / Ponchos,1,UPI,80.60,80.60,0.25,80.35
1420,DN_VVMID015607,Female,Dwaraka Nagar,PRE_PRCS0493867,13-01-2026,Tuesday,20:02,Evening,Apparel,Shawls,1,Credit Card,639.80,639.80,0.25,639.55
1421,MPM_VVMID28271,Male,Maddilapalem,PRE_PRCS0493858,14-01-2026,Wednesday,20:05,Evening,Apparel,Mufflers / Scarves,1,Debit Card,300.00,300.00,0.25,299.75
1422,MVPC_VVMID29627,Female,MVP Colony,PRE_PRCS0493849,15-01-2026,Thursday,20:08,Evening,Apparel,Sweaters / Cardigans,1,UPI,3396.50,3396.50,0.25,3396.25
1423,VKPM_VVMID02145,Male,Visakhapatnam,PRE_PRCS0493840,29-12-2025,Monday,20:11,Evening,Grocery & Staples,Instant Coffee,1,Cash,1681.50,1681.50,0.25,1681.25
1424,VKPM_VVMID02148,Male,Visakhapatnam,PRE_PRCS0493831,11-01-2026,Sunday,20:14,Evening,Dairy & Frozen,Ice Cream Tubs / Cones / Bars / Sticks,1,Cash,179.84,179.84,0.25,179.59
1425,JMBJ_VVMID24453,Male,Jagadamba Junction,PRE_PRCS0493822,31-12-2025,Wednesday,20:17,Evening,Fruits & Vegitables,Cabbage,1,UPI,50.00,50.00,0.25,49.75
1426,JMBJ_VVMID24472,Male,Jagadamba Junction,PRE_PRCS0493813,30-12-2025,Tuesday,20:20,Evening,Personal Care,Bath Salt,4,UPI,120.90,483.60,16.75,466.85
1427,VKPM_VVMID02151,Female,Visakhapatnam,PRE_PRCS0493804,02-01-2026,Friday,20:23,Evening,Home & Kitchen,Rice Cookers,1,Cash,1699.00,1699.00,0.25,1698.75
1428,JMBJ_VVMID24491,Male,Jagadamba Junction,PRE_PRCS0493795,16-01-2026,Friday,20:26,Evening,Apparel,Thermals,1,UPI,299.00,299.00,0.25,298.75
1429,SKLM_VVMID802180,Male,Srikakulam,PRE_PRCS0493786,25-12-2025,Thursday,20:29,Evening,General Merchandise,Hair Extensions / Wigs,1,Net Banking,179.00,179.00,0.25,178.75
1430,VKPM_VVMID02154,Female,Visakhapatnam,PRE_PRCS0493777,01-01-2026,Thursday,20:32,Evening,Fruits & Vegitables,Capsicum (Bell Pepper),3,Cash,85.90,257.70,10.75,246.95
1431,VKPM_VVMID02157,Male,Visakhapatnam,PRE_PRCS0493768,02-01-2026,Friday,20:35,Evening,Fruits & Vegitables,Green Chilli,2,Debit Card,179.00,358.00,5.75,352.25
1432,VKPM_VVMID02160,Male,Visakhapatnam,PRE_PRCS0493759,03-01-2026,Saturday,20:38,Evening,Fruits & Vegitables,Red Chilli,2,Cash,60.50,121.00,5.75,115.25
1433,VKPM_VVMID02163,Male,Visakhapatnam,PRE_PRCS0493750,30-12-2025,Tuesday,20:41,Evening,Grocery & Staples,Chicory,1,UPI,90.70,90.70,0.25,90.45
1434,VKPM_VVMID02166,Male,Visakhapatnam,PRE_PRCS0493741,12-01-2026,Monday,20:44,Evening,Dairy & Frozen,Frozen Yogurt,1,UPI,60.00,60.00,0.25,59.75
1435,VKPM_VVMID02169,Male,Visakhapatnam,PRE_PRCS0493732,04-01-2026,Sunday,20:47,Evening,Fruits & Vegitables,Beans (French Beans),2,UPI,49.80,99.60,5.75,93.85
1436,VKPM_VVMID02172,Male,Visakhapatnam,PRE_PRCS0493723,31-12-2025,Wednesday,20:50,Evening,Personal Care,Loofah/Scrubber,4,Cash,45.80,183.20,16.75,166.45
1437,VKPM_VVMID02175,Male,Visakhapatnam,PRE_PRCS0493714,03-01-2026,Saturday,20:53,Evening,Home & Kitchen,Induction Cooktops,1,UPI,745.50,745.50,0.25,745.25
1438,VKPM_VVMID02178,Female,Visakhapatnam,PRE_PRCS0493705,17-01-2026,Saturday,20:56,Evening,Apparel,Woolen Caps,1,Cash,340.90,340.90,0.25,340.65
1439,GJA_VVMID19525,Male,Gajuwaka,PRE_PRCS0493696,20-12-2025,Saturday,20:59,Evening,General Merchandise,Headbands,1,UPI,373.50,373.50,0.25,373.25
1440,VKPM_VVMID02181,Female,Visakhapatnam,PRE_PRCS0493687,04-01-2026,Sunday,21:02,Evening,Home & Kitchen,Food Processors,1,Net Banking,329.50,329.50,0.25,329.25
1441,VKPM_VVMID02184,Male,Visakhapatnam,PRE_PRCS0493678,05-01-2026,Monday,21:05,Evening,Home & Kitchen,Sandwich Makers,1,Cash,880.80,880.80,0.25,880.55
1442,VKPM_VVMID02187,Male,Visakhapatnam,PRE_PRCS0493669,06-01-2026,Tuesday,21:08,Evening,Home & Kitchen,Air Fryers,1,UPI,290.00,290.00,0.25,289.75
1443,VZNM_VVMID07537,Male,Vizianagaram,PRE_PRCS0493660,31-12-2025,Wednesday,21:11,Evening,Grocery & Staples,Bournvita / Horlicks,1,UPI,320.70,320.70,0.25,320.45
1444,VZNM_VVMID07545,Male,Vizianagaram,PRE_PRCS0493651,13-01-2026,Tuesday,21:14,Evening,Dairy & Frozen,Sundae,1,UPI,80.00,80.00,0.25,79.75
1445,VKPM_VVMID02190,Female,Visakhapatnam,PRE_PRCS0493642,05-01-2026,Monday,21:17,Evening,Fruits & Vegitables,Broad Beans (Flat Beans),2,Net Banking,59.60,119.20,5.75,113.45
1446,VKPM_VVMID02193,Male,Visakhapatnam,PRE_PRCS0493633,01-01-2026,Thursday,21:20,Evening,Personal Care,Body Oil,4,Debit Card,349.60,1398.40,16.75,1381.65
1447,VZNM_VVMID07553,Male,Vizianagaram,PRE_PRCS0493624,07-01-2026,Wednesday,21:23,Evening,Home & Kitchen,Electric Choppers,1,UPI,329.50,329.50,0.25,329.25
1448,VKPM_VVMID02196,Female,Visakhapatnam,PRE_PRCS0493615,18-01-2026,Sunday,21:26,Evening,Apparel,Gloves,1,Debit Card,219.00,219.00,0.25,218.75
1449,AN-VVMID009611,Male,Auto Nagar,PRE_PRCS0493606,21-12-2025,Sunday,21:29,Evening,General Merchandise,Hair Clips / Pins,1,Cash,179.00,179.00,0.25,178.75
1450,SKLM_VVMID802200,Male,Srikakulam,PRE_PRCS0493597,01-01-2026,Thursday,21:32,Evening,Grocery & Staples,Badam Milk Mix,1,Net Banking,59.00,59.00,0.25,58.75
1451,GJA_VVMID19535,Male,Gajuwaka,PRE_PRCS0493588,22-12-2025,Monday,21:35,Evening,General Merchandise,Brooches,1,Credit Card,150.75,150.75,0.25,150.50
1452,GJA_VVMID19545,Male,Gajuwaka,PRE_PRCS0493579,02-01-2026,Friday,21:38,Evening,Grocery & Staples,Rooh Afza,1,UPI,294.42,294.42,0.25,294.17
1453,SKLM_VVMID802220,Male,Srikakulam,PRE_PRCS0493570,14-01-2026,Wednesday,21:41,Evening,Dairy & Frozen,Ice Cream Sandwiches,1,Net Banking,50.80,50.80,0.25,50.55
1454,VKPM_VVMID02199,Male,Visakhapatnam,PRE_PRCS0493561,06-01-2026,Tuesday,21:44,Evening,Fruits & Vegitables,Cluster Beans,2,Cash,96.46,192.92,5.75,187.17
1455,VKPM_VVMID02202,Male,Visakhapatnam,PRE_PRCS0493552,30-12-2025,Tuesday,21:47,Evening,Personal Care,Toothpaste,4,Cash,99.00,396.00,16.75,379.25
1456,SKLM_VVMID802240,Female,Srikakulam,PRE_PRCS0493543,08-01-2026,Thursday,21:50,Evening,Home & Kitchen,Wall Hangings / Photo Frames,1,Net Banking,4897.50,4897.50,0.25,4897.25
1457,VKPM_VVMID02205,Male,Visakhapatnam,PRE_PRCS0493534,19-01-2026,Monday,21:53,Evening,Apparel,Capes,1,Cash,250.00,250.00,0.25,249.75
1458,AN-VVMID009625,Female,Auto Nagar,PRE_PRCS0493525,23-12-2025,Tuesday,21:56,Evening,General Merchandise,Ties / Cufflinks,1,Debit Card,128.90,128.90,0.25,128.65
1459,AN-VVMID009639,Male,Auto Nagar,PRE_PRCS0493516,30-12-2025,Tuesday,10:07,Morning,Grocery & Staples,Jaljeera Powder,1,Cash,134.90,134.90,0.25,134.65
1460,VKPM_VVMID02208,Male,Visakhapatnam,PRE_PRCS0493507,24-12-2025,Wednesday,10:12,Morning,General Merchandise,Bandanas,1,UPI,50.00,50.00,0.25,49.75
1461,VKPM_VVMID02211,Male,Visakhapatnam,PRE_PRCS0493498,25-12-2025,Thursday,10:17,Morning,General Merchandise,"Face Masks (Cloth, Fashion)",1,UPI,329.50,329.50,0.25,329.25
1462,GJA_VVMID19555,Male,Gajuwaka,PRE_PRCS0493489,31-12-2025,Wednesday,10:22,Morning,Grocery & Staples,Lemon Juice (Bottled),1,Credit Card,45.80,45.80,0.25,45.55
1463,GJA_VVMID19565,Female,Gajuwaka,PRE_PRCS0493480,15-01-2026,Thursday,10:27,Morning,Dairy & Frozen,Family Packs,1,UPI,329.50,329.50,0.25,329.25
1464,VKPM_VVMID02214,Male,Visakhapatnam,PRE_PRCS0493471,07-01-2026,Wednesday,10:32,Morning,Fruits & Vegitables,Double Beans (Lima Beans),2,UPI,329.50,659.00,5.75,653.25
1465,VKPM_VVMID02217,Male,Visakhapatnam,PRE_PRCS0493462,31-12-2025,Wednesday,10:37,Morning,Personal Care,Toothbrush,4,UPI,39.00,156.00,16.75,139.25
1466,GJA_VVMID19575,Female,Gajuwaka,PRE_PRCS0493453,09-01-2026,Friday,10:42,Morning,Home & Kitchen,Artificial Flowers / Plants,1,UPI,260.80,260.80,0.25,260.55
1467,VKPM_VVMID02220,Male,Visakhapatnam,PRE_PRCS0493444,20-01-2026,Tuesday,10:47,Morning,Apparel,Tights,1,UPI,128.90,128.90,0.25,128.65
1468,NAD_VVMID30637,Male,NAD Junction,PRE_PRCS0493435,26-12-2025,Friday,10:52,Morning,General Merchandise,"Mosquito Repellents (Coils, Liquid, Mats)",1,Cash,617.80,617.80,0.25,617.55
1469,VKPM_VVMID02223,Male,Visakhapatnam,PRE_PRCS0493426,21-01-2026,Wednesday,10:57,Morning,Apparel,Casual Dresses,1,Net Banking,1262.10,1262.10,0.25,1261.85
1470,VKPM_VVMID02226,Male,Visakhapatnam,PRE_PRCS0493417,22-01-2026,Thursday,11:02,Morning,Apparel,Party Dresses,1,Cash,789.90,789.90,0.25,789.65
1471,VKPM_VVMID02229,Male,Visakhapatnam,PRE_PRCS0493408,23-01-2026,Friday,11:07,Morning,Apparel,Maxi Dresses,1,UPI,45.80,45.80,0.25,45.55
1472,AN-VVMID009653,Male,Auto Nagar,PRE_PRCS0493399,01-01-2026,Thursday,11:12,Morning,Grocery & Staples,Thandai Mix,1,Debit Card,299.00,299.00,0.25,298.75
1473,AN-VVMID009667,Male,Auto Nagar,PRE_PRCS0493390,16-01-2026,Friday,11:17,Morning,Dairy & Frozen,Sugar-Free Ice Cream,1,Cash,120.00,120.00,0.25,119.75
1474,VZNM_VVMID07561,Female,Vizianagaram,PRE_PRCS0493381,08-01-2026,Thursday,11:22,Morning,Fruits & Vegitables,Green Peas,2,UPI,120.00,240.00,5.75,234.25
1475,VKPM_VVMID02232,Male,Visakhapatnam,PRE_PRCS0493372,01-01-2026,Thursday,11:27,Morning,Personal Care,Mouthwash,4,Net Banking,724.80,2899.20,16.75,2882.45
1476,AN-VVMID009681,Female,Auto Nagar,PRE_PRCS0493363,10-01-2026,Saturday,11:32,Morning,Home & Kitchen,"Decorative Idols (Ganesha, Lakshmi, etc.)",1,Cash,121.34,121.34,0.25,121.09
1477,VZNM_VVMID07569,Male,Vizianagaram,PRE_PRCS0493354,24-01-2026,Saturday,11:37,Morning,Apparel,Jumpsuits,1,UPI,399.00,399.00,0.25,398.75
1478,DN_VVMID015621,Male,Dwaraka Nagar,PRE_PRCS0493345,27-12-2025,Saturday,11:42,Morning,General Merchandise,"Insect Sprays (Hit, Mortein, Baygon)",1,Credit Card,1573.50,1573.50,0.25,1573.25
1479,SKLM_VVMID802260,Male,Srikakulam,PRE_PRCS0493336,09-01-2026,Friday,11:47,Morning,Fruits & Vegitables,Corn (Maize),2,Net Banking,107.82,215.64,5.75,209.89
1480,GJA_VVMID19585,Male,Gajuwaka,PRE_PRCS0493327,10-01-2026,Saturday,11:52,Morning,Fruits & Vegitables,Raw Banana,2,UPI,80.60,161.20,5.75,155.45
1481,AN-VVMID009695,Female,Auto Nagar,PRE_PRCS0493318,11-01-2026,Sunday,11:57,Morning,Fruits & Vegitables,Raw Papaya,2,Cash,80.60,161.20,5.75,155.45
1482,VKPM_VVMID02235,Male,Visakhapatnam,PRE_PRCS0493309,30-12-2025,Tuesday,12:02,Afternoon,Grocery & Staples,Dried Coconut (Copra),1,UPI,329.50,329.50,0.25,329.25
1483,GJA_VVMID19595,Male,Gajuwaka,PRE_PRCS0493300,17-01-2026,Saturday,12:07,Afternoon,Dairy & Frozen,Frozen Peas (Green Peas),1,Credit Card,150.00,150.00,0.25,149.75
1484,GJA_VVMID19605,Female,Gajuwaka,PRE_PRCS0493291,12-01-2026,Monday,12:12,Afternoon,Fruits & Vegitables,Raw Jackfruit,2,Credit Card,80.60,161.20,5.75,155.45
1485,VKPM_VVMID02238,Male,Visakhapatnam,PRE_PRCS0493282,30-12-2025,Tuesday,12:17,Afternoon,Personal Care,Dental Floss,4,Cash,122.22,488.88,16.75,472.13
1486,GJA_VVMID19615,Male,Gajuwaka,PRE_PRCS0493273,11-01-2026,Sunday,12:22,Afternoon,Home & Kitchen,Candles / Diyas / Holders,1,Credit Card,100.70,100.70,0.25,100.45
1487,SKLM_VVMID802280,Male,Srikakulam,PRE_PRCS0493264,25-01-2026,Sunday,12:27,Afternoon,Apparel,Nightdresses,1,Net Banking,1171.90,1171.90,0.25,1171.65
1488,MPM_VVMID28277,Male,Maddilapalem,PRE_PRCS0493255,28-12-2025,Sunday,12:32,Afternoon,General Merchandise,Cockroach Killers,1,Debit Card,97.26,97.26,0.25,97.01
1489,AN-VVMID009709,Male,Auto Nagar,PRE_PRCS0493246,12-01-2026,Monday,12:37,Afternoon,Home & Kitchen,Wall Clocks,1,Debit Card,3098.40,3098.40,0.25,3098.15
1490,VKPM_VVMID02241,Male,Visakhapatnam,PRE_PRCS0493237,13-01-2026,Tuesday,12:42,Afternoon,Home & Kitchen,Table Lamps / Decorative Lights,1,UPI,1249.90,1249.90,0.25,1249.65
1491,VKPM_VVMID02244,Male,Visakhapatnam,PRE_PRCS0493228,14-01-2026,Wednesday,12:47,Afternoon,Home & Kitchen,Cushion Covers,1,UPI,116.86,116.86,0.25,116.61
1492,VKPM_VVMID02247,Female,Visakhapatnam,PRE_PRCS0493219,31-12-2025,Wednesday,12:52,Afternoon,Grocery & Staples,Dry Fenugreek Leaves,1,UPI,329.50,329.50,0.25,329.25
1493,AN-VVMID009723,Male,Auto Nagar,PRE_PRCS0493210,18-01-2026,Sunday,12:57,Afternoon,Dairy & Frozen,Frozen Mixed Vegetables,1,Debit Card,80.00,80.00,0.25,79.75
1494,AN-VVMID009737,Female,Auto Nagar,PRE_PRCS0493201,13-01-2026,Tuesday,13:02,Afternoon,Fruits & Vegitables,Banana Flower,2,Debit Card,86.80,173.60,5.75,167.85
1495,VKPM_VVMID02250,Male,Visakhapatnam,PRE_PRCS0493192,31-12-2025,Wednesday,13:07,Afternoon,Personal Care,Tongue Cleaner,4,UPI,35.80,143.20,16.75,126.45
1496,NAD_VVMID30641,Male,NAD Junction,PRE_PRCS0493183,15-01-2026,Thursday,13:12,Afternoon,Home & Kitchen,Doormats,2,Cash,329.50,659.00,5.75,653.25
1497,GJA_VVMID19625,Male,Gajuwaka,PRE_PRCS0493174,26-01-2026,Monday,13:17,Afternoon,Apparel,Yoga Pants,1,UPI,1859.05,1859.05,0.25,1858.80
1498,MVPC_VVMID29631,Male,MVP Colony,PRE_PRCS0493165,29-12-2025,Monday,13:22,Afternoon,General Merchandise,Rat Traps / Repellents,1,UPI,80.60,80.60,0.25,80.35
1499,VZNM_VVMID07577,Female,Vizianagaram,PRE_PRCS0493156,01-01-2026,Thursday,13:27,Afternoon,Personal Care,Toothpowder,5,UPI,209.00,1045.00,25.05,1019.95
1500,SKLM_VVMID802300,Male,Srikakulam,PRE_PRCS0493147,30-12-2025,Tuesday,13:32,Afternoon,Personal Care,Tooth Whitening Products,5,Net Banking,249.00,1245.00,25.05,1219.95
1501,GJA_VVMID19635,Male,Gajuwaka,PRE_PRCS0493138,31-12-2025,Wednesday,13:37,Afternoon,Personal Care,Shaving Cream,5,UPI,366.80,1834.00,25.05,1808.95
1502,AN-VVMID009751,Female,Auto Nagar,PRE_PRCS0493129,01-01-2026,Thursday,13:42,Afternoon,Personal Care,Shaving Gel,5,Cash,534.80,2674.00,25.05,2648.95
1503,NAD_VVMID30645,Male,NAD Junction,PRE_PRCS0493120,01-01-2026,Thursday,13:47,Afternoon,Grocery & Staples,Dried Curry Leaves,1,Cash,329.50,329.50,0.25,329.25
